==============================================
   校长我来当 - 游戏全部文本（平台/工单审核用）
   版本: v3.7 (versionCode 29)
   包名: com.arktools.xiaozhang
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/teacher/TeacherListScreen.kt
28. ", cash)} 万"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/facility/FacilityScreen.kt
29. ", channel.cost)}万"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/teacher/TeacherListScreen.kt, app/src/main/java/com/arktools/xiaozhang/ui/teacher/TeacherViewModel.kt
30. ", club.type.monthlyCost * club.level.multiplier)}万/月"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/club/ClubScreen.kt
31. ", club.type.satisfactionBonus * club.level.multiplier)}"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/club/ClubScreen.kt
32. ", conf.totalCost)}万"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/conference/ConferenceScreen.kt
33. ", confiscatedAmount)}万元"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/engine/GameEngine.kt
34. ", cost)} 万元"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/facility/FacilityViewModel.kt
35. ", costWan)}万"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/seasonal/SeasonalScreen.kt
36. ", costWan)}万 · 已签字批准"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/seasonal/SeasonalScreen.kt
37. ", costWan)}万元"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/engine/GameEngine.kt
38. ", costWan)}万元（标准规模）"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/engine/GameEngine.kt
39. ", costWan)}万（标准）"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/seasonal/SeasonalScreen.kt
40. ", course.qualityScore)}"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/engine/GameEngine.kt
41. ", currentSpeed)}"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/main/MainScreen.kt
42. ", data.average)}分"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/report/ReportScreen.kt
43. ", diff * 100)}个百分点"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/engine/PressureSystemManager.kt
44. ", dimData.momentum)}"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/reputation/ReputationScreen.kt
45. ", dimData.monthlyGrowth)}"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/reputation/ReputationScreen.kt
46. ", effectiveExposure)}"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/district/DistrictScreen.kt
47. ", embezzledTotal)}万元"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/engine/GameEngine.kt
48. ", event.change)}"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/reputation/ReputationScreen.kt
49. ", event.fineAmount)}万"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/principal/PrincipalOfficeScreen.kt
50. ", exposureBonus)}"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/district/DistrictScreen.kt
51. ", facility.maintenanceCost)} 万"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/facility/FacilityScreen.kt
52. ", govResult.fine)}"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/engine/GameEngine.kt
53. ", govResult.subsidy)}"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/engine/GameEngine.kt
54. ", graduate.gpa)}"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/alumni/AlumniScreen.kt
55. ", graduationBonus)}万元！"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/engine/GameEngine.kt
56. ", holding.avgBuyPrice)}"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/stock/StockScreen.kt
57. ", holding.profitLossPercent)}"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/stock/StockScreen.kt
58. ", it.cash)}万元"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/settings/SettingsScreen.kt
59. ", java.util.Locale.getDefault()).format(java.util.Date())} ==="
   来源文件: app/src/main/java/com/arktools/xiaozhang/SchoolTycoonApplication.kt
60. ", mEvent.repairCost)}万）"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/engine/GameEngine.kt
61. ", maxInvestment)}万），请减少数量"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/stock/StockScreen.kt
62. ", monthlySalary)}万"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/principal/PrincipalOfficeScreen.kt
63. ", option.amount)}万"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/principal/PrincipalOfficeScreen.kt
64. ", partner.bonusRepMultiplier)}"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/conference/ConferenceScreen.kt
65. ", poach.offeredSalary)}万/月高薪！"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/engine/GameEngine.kt
66. ", poach.retainCost * 0.8)}万/月"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/engine/GameEngine.kt
67. ", poach.retainCost)}万/月。"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/engine/GameEngine.kt
68. ", poach.retainCost)}万/月）"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/engine/GameEngine.kt
69. ", principal.personalFunds)}万"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/principal/PrincipalOfficeScreen.kt
70. ", principal.personalFunds)}万），无法购买"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/stock/StockViewModel.kt
71. ", principal.totalEmbezzled)} 万元，"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/engine/CorruptionManager.kt
72. ", principal.totalEmbezzled)} 万元，证据确凿！"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/principal/PrincipalOfficeViewModel.kt
73. ", principal.totalEmbezzled)}万"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/principal/PrincipalOfficeScreen.kt
74. ", purchasedCost)}万"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/principal/PrincipalOfficeScreen.kt
75. ", quarterlyTax)}万元已自动扣除。"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/engine/GameEngine.kt
76. ", raised / 10000)}万捐款"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/alumni/AlumniNetwork.kt
77. ", recipient.gpa)}"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/scholarship/ScholarshipScreen.kt
78. ", refund)} 万元"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/facility/FacilityViewModel.kt
79. ", renewal.currentSalary)}万/月"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/engine/GameEngine.kt
80. ", repairCost)} 万元"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/facility/FacilityViewModel.kt
81. ", repairCost)}万"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/facility/FacilityScreen.kt
82. ", reputationBoost)}"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/marketing/MarketingScreen.kt
83. ", req.currentSalary)}万元"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/engine/GameEngine.kt
84. ", req.requestedRaise)}万/月）"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/engine/GameEngine.kt
85. ", result.donationGained / 10000)}万"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/alumni/AlumniScreen.kt
86. ", result.personalGain)}万"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/principal/PrincipalOfficeScreen.kt
87. ", salarySlider)}万/月"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/teacher/TeacherListScreen.kt
88. ", satisfactionBonus)}"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/club/ClubScreen.kt
89. ", savingAmount)} 万"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/engine/CorruptionManager.kt
90. ", scholarshipResult.expenses)}"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/engine/GameEngine.kt
91. ", school.cash)}万"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/district/DistrictScreen.kt
92. ", score)}分"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/teacher/TeacherListScreen.kt
93. ", slot.cash)}万"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/save/SaveScreen.kt
94. ", starRating)}星"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/overview/OverviewScreen.kt
95. ", state.monthlyBudget)}万"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/conference/ConferenceScreen.kt
96. ", state.yearlyStats.avgGpa)})"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/scholarship/ScholarshipScreen.kt
97. ", stats.averageScore)}"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/district/DistrictScreen.kt
98. ", stats.totalRevenue)}万"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/district/DistrictScreen.kt
99. ", stock.currentPrice * quantity)}万"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/stock/StockScreen.kt
100. ", stock.currentPrice)}"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/stock/StockScreen.kt
101. ", stock.currentPrice)}万/股"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/stock/StockScreen.kt
102. ", teacher.monthlySalary)}万/月"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/teacher/TeacherListScreen.kt
103. ", totalCost - availableCash)}万"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/stock/StockScreen.kt
104. ", totalCost)} 万元"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/facility/FacilityViewModel.kt
105. ", totalCost)}万"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/stock/StockScreen.kt
106. ", totalMaintenance)} 万"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/facility/FacilityScreen.kt
107. ", totalRepairCost)} 万元"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/facility/FacilityViewModel.kt
108. ", totalRepairCost)}万）"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/facility/FacilityScreen.kt
109. ", upgradeCost)}万"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/district/DistrictScreen.kt, app/src/main/java/com/arktools/xiaozhang/ui/facility/FacilityScreen.kt
110. ", value / 1000)}k"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/report/ReportScreen.kt
111. ", value / 10000)}万"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/report/ReportScreen.kt
112. ", value / 1000000)}M"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/report/ReportScreen.kt
113. ", value)}"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/policy/PolicyScreen.kt
114. ", w.refundAmount)}万元"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/engine/GameEngine.kt
115. ", zone.totalCostWan)}万"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/district/DistrictScreen.kt
116. "-journal"
   来源文件: app/src/main/java/com/arktools/xiaozhang/SchoolTycoonApplication.kt
117. "-shm"
   来源文件: app/src/main/java/com/arktools/xiaozhang/SchoolTycoonApplication.kt
118. "-wal"
   来源文件: app/src/main/java/com/arktools/xiaozhang/SchoolTycoonApplication.kt
119. ".format(estimatedCost)} 万"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/teacher/TeacherListScreen.kt
120. ".format(result.totalCost)} 万"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/teacher/TeacherListScreen.kt
121. ".format(school.cash)}万"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/research/ResearchViewModel.kt
122. ".format(state.monthlyMaintenanceCost)}万"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/district/DistrictScreen.kt
123. ".repeat(partner.prestige)}"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/conference/ConferenceScreen.kt
124. ".repeat(project.difficulty)}"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/minigame/ScienceFairMiniGame.kt
125. "0"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/report/ReportScreen.kt
126. "0.X万"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/utils/FormatUtils.kt
127. "0万"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/utils/FormatUtils.kt
128. "1"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/stock/StockViewModel.kt
129. "1,234"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/utils/FormatUtils.kt
130. "1. 选择正方或反方立场开始辩论"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/minigame/DebateMiniGame.kt
131. "1.0亿"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/utils/FormatUtils.kt
132. "1.2万"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/utils/FormatUtils.kt
133. "100"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/stock/StockViewModel.kt
134. "100米短跑"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/minigame/MiniGameModels.kt
135. "1500米"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/minigame/MiniGameModels.kt
136. "15年内升到4级"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/achievement/Achievement.kt
137. "180平，学区房不是梦"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/principal/PrincipalOfficeScreen.kt
138. "2. 共5个环节，每环节出一张论点卡"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/minigame/DebateMiniGame.kt
139. "2062435124066897922"
   来源文件: app/src/main/java/com/arktools/xiaozhang/SchoolTycoonApplication.kt
140. "20年后才升到3级"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/achievement/Achievement.kt
141. "211"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/model/Student.kt
142. "24小时心理咨询热线"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/studentlife/StudentLifeManager.kt
143. "25年内升到5级"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/achievement/Achievement.kt
144. "2b3a48166c"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/main/MainScreen.kt
145. "3. 论点分4类：逻辑、情感、数据、权威，存在克制关系"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/minigame/DebateMiniGame.kt
146. "3个以上设施达到满级"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/achievement/Achievement.kt
147. "3年内升到2级"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/achievement/Achievement.kt
148. "4. 克制对手论点类型可获得额外伤害"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/minigame/DebateMiniGame.kt
149. "4×100接力"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/minigame/MiniGameModels.kt
150. "4分钟"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/minigame/MiniGameViewModel.kt
151. "5-10分钟短视频，聚焦单一知识点"
   来源文件: app/src/main/java/com/arktools/xiaozhang/data/local/entity/TeachingMethodEntity.kt, app/src/main/java/com/arktools/xiaozhang/data/repository/ResearchRepositoryImpl.kt
152. "5. 匹配评委偏好的类型可获得额外加分"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/minigame/DebateMiniGame.kt
153. "5000"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/club/ClubScreen.kt
154. "5分钟"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/minigame/MiniGameViewModel.kt
155. "5年内声誉达到1000"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/achievement/Achievement.kt
156. "5星评分+5级学校+现金>5000万"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/achievement/Achievement.kt
157. "6. 你有2次反驳机会，可将对手当回合得分减半"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/minigame/DebateMiniGame.kt
158. "6:00到校早读"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/model/Course.kt
159. "6分钟"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/minigame/MiniGameViewModel.kt
160. "7. 5回合后总分高者获胜！"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/minigame/DebateMiniGame.kt
161. "7分钟"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/minigame/MiniGameViewModel.kt
162. "8分钟"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/minigame/MiniGameViewModel.kt
163. "8年内升到3级"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/achievement/Achievement.kt
164. "985"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/model/Student.kt, app/src/main/java/com/arktools/xiaozhang/ui/alumni/AlumniScreen.kt
165. "99+"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/main/MainScreen.kt
166. "A"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/exam/ExamManager.kt, app/src/main/java/com/arktools/xiaozhang/ui/overview/OverviewScreen.kt, app/src/main/java/com/arktools/xiaozhang/ui/teacher/TeacherListScreen.kt
167. "A-S级为主"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/teacher/TeacherViewModel.kt
168. "AAA级示范校"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/government/GovernmentInspectionManager.kt
169. "AA级优秀校"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/government/GovernmentInspectionManager.kt
170. "AI+教育概念火爆，教育科技板块大涨！"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/engine/StockEventGenerator.kt
171. "AI将取代传统教师"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/minigame/MiniGameViewModel.kt
172. "AI教育先锋"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/engine/EventGenerator.kt
173. "AI新纪元"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/achievement/Achievement.kt
174. "AI无法取代教师"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/minigame/MiniGameViewModel.kt
175. "AI能否取代教师"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/minigame/MiniGameViewModel.kt
176. "AI辅助教学"
   来源文件: app/src/main/java/com/arktools/xiaozhang/data/local/entity/TeachingMethodEntity.kt, app/src/main/java/com/arktools/xiaozhang/data/repository/ResearchRepositoryImpl.kt
177. "APP上线获好评"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/club/ClubManager.kt
178. "ARTISTIC"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/engine/GameBalanceConfig.kt
179. "AUDITORIUM"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/achievement/Achievement.kt
180. "AVERAGE"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/parent/ParentSatisfactionManager.kt
181. "Activity gone before showing ad"
   来源文件: app/src/main/java/com/arktools/adsdk/AdHelper.kt
182. "Activity is finishing/destroyed, skip ad load"
   来源文件: app/src/main/java/com/arktools/adsdk/AdHelper.kt
183. "Ad SDK init failed, game continues without ads"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/main/MainScreen.kt
184. "Ad callback exception"
   来源文件: app/src/main/java/com/arktools/adsdk/AdHelper.kt
185. "AdHelper"
   来源文件: app/src/main/java/com/arktools/adsdk/AdHelper.kt
186. "AdInit"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/main/MainScreen.kt
187. "AdSdkConfig.appId 未配置，请先调用 AdSdkConfig.configure()"
   来源文件: app/src/main/java/com/arktools/adsdk/TosinAdInitializer.kt
188. "AppModule"
   来源文件: app/src/main/java/com/arktools/xiaozhang/di/AppModule.kt
189. "AutoHandleManager"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/autohandle/AutoHandleManager.kt
190. "A级 (高级)"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/utils/FormatUtils.kt
191. "A级达标校"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/government/GovernmentInspectionManager.kt
192. "A股大盘全面上涨，教育股跟随上攻！"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/engine/StockEventGenerator.kt
193. "B"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/exam/ExamManager.kt, app/src/main/java/com/arktools/xiaozhang/domain/government/GovernmentInspectionManager.kt, app/src/main/java/com/arktools/xiaozhang/ui/overview/OverviewScreen.kt, app/src/main/java/com/arktools/xiaozhang/ui/teacher/TeacherListScreen.kt
194. "B-A级为主"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/teacher/TeacherViewModel.kt
195. "BALANCED"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/policy/SchoolPolicyManager.kt
196. "B站"
   来源文件: app/src/main/java/com/arktools/xiaozhang/data/save/SaveManager.kt
197. "B级 (中级)"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/utils/FormatUtils.kt
198. "B级合格校"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/government/GovernmentInspectionManager.kt
199. "C"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/exam/ExamManager.kt, app/src/main/java/com/arktools/xiaozhang/ui/overview/OverviewScreen.kt, app/src/main/java/com/arktools/xiaozhang/ui/teacher/TeacherListScreen.kt
200. "C-B级为主，小概率A"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/teacher/TeacherViewModel.kt
201. "COMPETITION"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/engine/GameBalanceConfig.kt
202. "COMPETITIVE"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/policy/SchoolPolicyManager.kt
203. "COMPREHENSIVE"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/teaching/TeachingManager.kt
204. "CREATIVE"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/engine/GameBalanceConfig.kt
205. "Competitor monthly update failed"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/engine/GameEngine.kt
206. "ComplianceManager"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/login/ComplianceManager.kt
207. "Crisis detection failed"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/engine/GameEngine.kt
208. "CrisisScenarioManager"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/engine/CrisisScenarioManager.kt
209. "C站弹幕"
   来源文件: app/src/main/java/com/arktools/xiaozhang/data/repository/StockRepositoryImpl.kt, app/src/main/java/com/arktools/xiaozhang/data/save/SaveManager.kt
210. "C级 (初级)"
   来源文件: app/src/main/java/com/arktools/xiaozhang/ui/utils/FormatUtils.kt
211. "C级待改进"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/government/GovernmentInspectionManager.kt
212. "D"
   来源文件: app/src/main/java/com/arktools/xiaozhang/domain/exam/ExamManager.kt
213. "DELETE FROM courses WHERE id = :courseId"
   来源文件: app/src/main/java/com/arktools/xiaozhang/data/local/dao/CourseDao.kt
214. "DELETE FROM courses WHERE schoolId = :schoolId"
   来源文件: app/src/main/java/com/arktools/xiaozhang/data/local/dao/CourseDao.kt
215. "DELETE FROM schools"
   来源文件: app/src/main/java/com/arktools/xiaozhang/data/local/dao/SchoolDao.kt
216. "DELETE FROM stock_holdings WHERE id = :holdingId"
   来源文件: app/src/main/java/com/arktools/xiaozhang/data/local/dao/StockDao.kt
217. "DELETE FROM stock_holdings WHERE schoolId = :schoolId"
   来源文件: app/src/main/java/com/arktools/xiaozhang/data/local/dao/StockDao.kt
218. "DELETE FROM stock_price_history WHERE schoolId = :schoolId"
   来源文件: app/src/main/java/com/arktools/xiaozhang/data/local/dao/StockDao.kt
219. "DELETE FROM stocks WHERE schoolId = :schoolId"
   来源文件: app/src/main/java/com/arktools/xiaozhang/data/local/dao/StockDao.kt
220. "DELETE FROM students WHERE schoolId = :schoolId"
